LOSSFILE	
FileFormatVersion	YLT_1.1
LossTableHeaderFormat	Manual Import
LossTableHeaderProducer	MAT-R
LossTableType	YLT
LossTableBasis	AM
CreateDate	2018-08-07
Model	Elements
ModelProvider	IF
ModelSystem	Elements
ModelSystemVersion	10.0.0.0
ModelSystemInstance	PRD
ResultsDatabaseName	IF_RES_2018_THFL
User	U000886
Simulation_Set_Id	7511
Peril	FL
Region	Thailand
Model_Version	10.0.0.0
ModelModule	DLM
Geo_Code	THA
SourceResultsReference	42
ResultsName	FPG_QS_SPL - FPG_QS_SPL
ResultsDescription	NA
Run_Date	2018-06-27
Run_Date	2018-06-27
Currency	THB
FinPerspective	GU
Years	100000
SimulationPeriodBasis	1
OccurrenceBasis	PerEvent
OEP2	0
OEP5	8169385
OEP10	131946097
OEP25	565116148
OEP50	1855095265
OEP100	2171342391
OEP200	2356876878
OEP250	2391373373
OEP500	2520814472
OEP1000	2683327326
OEP5000	2969410750
OEP10000	3104076686
AAL	86965188.90267
STD	352523451.318785
COV	4.05361565664306
#[HEADER-END]
EventID	Year	MM-DD(n)	Value
751100104	64366	08-21(0)	164962745
751100104	68532	09-25(0)	164962745
751100105	8711	05-20(0)	2448638073
751100105	21996	06-05(0)	2448638073
751100105	33735	05-23(0)	2448638073
751100105	89364	07-20(0)	2448638073
751100106	14551	08-12(0)	88640819
751100106	15826	10-14(0)	88640819
751100106	29469	07-04(0)	88640819
751100106	55001	05-16(0)	88640819
751100108	7261	07-04(0)	4665214
751100108	13527	05-30(0)	4665214
751100108	81243	08-08(0)	4665214
751100108	81367	07-14(0)	4665214
751100109	14150	07-12(0)	93195574
751100109	59647	08-02(0)	93195574
751100109	69449	09-30(0)	93195574
751100109	77818	06-29(0)	93195574
751100109	86673	08-18(0)	93195574
751100109	88386	09-08(0)	93195574
751100109	88989	09-11(0)	93195574
751100109	98130	05-22(0)	93195574
751100113	16781	06-22(0)	45466912
751100113	18433	07-17(0)	45466912
751100113	36138	05-19(0)	45466912
751100113	44987	08-31(0)	45466912
751100113	45720	09-30(0)	45466912
751100113	89136	10-12(0)	45466912
751100113	93769	06-08(0)	45466912
751100115	18752	09-16(0)	9160214
751100115	31633	10-13(0)	9160214
751100115	91985	06-19(0)	9160214
751100115	96367	06-25(0)	9160214
751100115	98034	09-15(0)	9160214
751100119	8770	05-31(0)	233187697
751100119	87914	06-05(0)	233187697
751100119	99984	05-16(0)	233187697
751100120	13062	07-26(0)	1738564798
751100120	15382	09-12(0)	1738564798
751100120	17038	06-29(0)	1738564798
751100120	27907	09-24(0)	1738564798
751100120	33011	06-28(0)	1738564798
751100120	60131	08-27(0)	1738564798
751100120	61358	08-18(0)	1738564798
751100120	82213	08-24(0)	1738564798
751100126	17958	10-05(0)	249874049
751100126	20816	08-05(0)	249874049
751100126	22992	08-21(0)	249874049
751100127	3727	06-25(0)	116929600
751100127	28494	07-08(0)	116929600
751100127	35461	06-23(0)	116929600
751100127	40493	10-05(0)	116929600
751100127	48591	08-14(0)	116929600
751100127	62758	08-25(0)	116929600
751100127	66047	05-21(0)	116929600
751100127	77413	10-03(0)	116929600
751100127	81282	09-09(0)	116929600
751100131	4918	09-09(0)	15300777
751100131	32517	08-02(0)	15300777
751100131	65801	08-11(0)	15300777
751100131	75180	07-25(0)	15300777
751100131	77092	08-16(0)	15300777
751100131	77750	05-26(0)	15300777
751100131	98814	10-01(0)	15300777
751100134	2838	09-20(0)	52726072
751100134	5900	07-30(0)	52726072
751100134	9173	05-31(0)	52726072
751100134	32248	07-01(0)	52726072
751100137	6776	09-25(0)	42343135
751100137	17669	07-16(0)	42343135
751100137	57461	09-04(0)	42343135
751100137	61063	09-05(0)	42343135
751100137	61719	09-05(0)	42343135
751100138	21521	08-24(0)	778760438
751100138	50590	08-03(0)	778760438
751100138	62917	09-24(0)	778760438
751100140	31528	07-08(0)	2714148
751100140	57167	06-07(0)	2714148
751100140	60429	09-02(0)	2714148
751100140	68729	09-03(0)	2714148
751100140	80628	09-22(0)	2714148
751100155	135	09-02(0)	7234407
751100155	729	09-05(0)	7234407
751100155	24869	08-31(0)	7234407
751100155	40403	07-12(0)	7234407
751100155	48927	08-14(0)	7234407
751100155	60897	10-13(0)	7234407
751100155	63092	09-14(0)	7234407
751100155	66161	07-08(0)	7234407
751100155	69906	09-01(0)	7234407
751100157	8232	07-31(0)	611729453
751100157	17097	09-14(0)	611729453
751100157	66917	06-22(0)	611729453
751100157	93234	07-20(0)	611729453
751100157	94543	09-30(0)	611729453
751100158	37304	09-29(0)	2139521952
751100158	48171	09-16(0)	2139521952
751100158	90314	06-17(0)	2139521952
751100162	12556	06-22(0)	2157967927
751100162	13895	09-20(0)	2157967927
751100162	15291	07-14(0)	2157967927
751100162	23124	07-28(0)	2157967927
751100162	49787	09-15(0)	2157967927
751100162	96207	05-23(0)	2157967927
751100163	4405	06-21(0)	13777536
751100163	4954	07-02(0)	13777536
751100163	24262	10-13(0)	13777536
751100163	34714	06-10(0)	13777536
751100163	43409	06-28(0)	13777536
